meeting,order,gtSpeaker,apprOrdinal,tier,correct,bestSim,secondSim,marginGate,candLabel,callCount
ES2006d,15,FEO023,3,unknown,true,0.8068,0.7659,0.0410,,0
ES2006d,15,FEE021,4,suggest,true,0.9352,0.5712,inf,FEE021,3
ES2006d,15,MEO022,4,suggest,true,0.9341,0.3581,inf,MEO022,3
ES2007a,16,MEE025,1,unknown,true,0.4293,0.3982,inf,,0
ES2007a,16,FEE028,1,unknown,true,0.5608,0.4047,inf,,0
ES2007a,16,MEE027,1,suggest,false,0.9434,0.6131,0.3303,MEE010,3
ES2007a,16,FEO026,1,unknown,true,0.5661,0.3706,inf,,0
ES2007b,17,MEE025,2,suggest,true,0.8299,0.7771,0.0528,MEE025,1
ES2007b,17,MEE027,2,unknown,true,0.5224,0.3443,inf,,0
ES2007b,17,FEE028,2,suggest,false,0.7983,0.5688,inf,MEE027,2
ES2007c,18,MEE025,3,suggest,true,0.8884,0.5396,inf,MEE025,2
ES2007c,18,FEO026,2,suggest,false,0.8950,0.4434,inf,FEE028,2
ES2007d,19,MEE025,4,suggest,true,0.9231,0.4457,inf,MEE025,3
ES2007d,19,FEE028,3,unknown,true,0.5830,0.3923,inf,,0
ES2007d,19,FEO026,3,unknown,true,0.5990,0.4130,inf,,0
ES2008a,20,FEE029,1,unknown,true,0.5310,0.3792,inf,,0
ES2008a,20,MEE031,1,suggest,false,0.6491,0.5677,inf,FEO026,3
ES2008b,21,FEE029,2,suggest,true,0.9347,0.4907,inf,FEE029,1
ES2008b,21,FEE032,1,unknown,true,0.3627,0.2668,inf,,0
ES2008b,21,MEE031,2,unknown,true,0.3901,0.3796,inf,,0
ES2008b,21,FEE030,1,unknown,true,0.6453,0.4728,inf,,0
ES2008c,22,FEE030,2,suggest,true,0.8672,0.6808,0.1864,FEE030,1
ES2008c,22,FEE029,3,suggest,true,0.8997,0.5334,inf,FEE029,2
ES2008c,22,MEE031,3,unknown,true,0.3549,0.3301,inf,,0
ES2008c,22,FEE032,2,suggest,false,0.8842,0.4860,inf,MEE031,3
ES2008d,23,FEE030,3,suggest,false,0.9118,0.7741,0.1376,FEE029,3
ES2008d,23,MEE031,4,unknown,true,0.3976,0.2563,inf,,0
ES2009a,24,MEE033,1,unknown,true,0.2158,0.1766,inf,,0
ES2009a,24,FEE036,1,unknown,true,0.4715,0.4298,inf,,0
ES2009b,25,MEE033,2,suggest,true,0.9760,0.4654,inf,MEE033,1
ES2009b,25,MEE034,1,unknown,true,0.3995,0.3573,inf,,0
ES2009b,25,MEE035,1,unknown,true,0.6624,0.3660,inf,,0
ES2009b,25,FEE036,2,suggest,true,0.6822,0.4501,inf,FEE036,1
ES2009c,26,MEE033,3,suggest,true,0.7812,0.7035,0.0778,MEE033,2
ES2009c,26,MEE035,2,suggest,true,0.9456,0.5914,inf,MEE035,1
ES2009c,26,FEE036,3,suggest,false,0.8286,0.5682,inf,MEE031,4
ES2009d,27,MEE033,4,suggest,true,0.9698,0.5513,inf,MEE033,3
ES2009d,27,MEE035,3,suggest,true,0.7694,0.7140,0.0554,MEE035,2
ES2009d,27,FEE036,4,suggest,true,0.7880,0.4698,inf,FEE036,3
ES2010a,28,FEE037,1,unknown,true,0.3934,0.3471,inf,,0
ES2010a,28,FEE040,1,suggest,false,0.7188,0.5777,inf,FEE037,1
ES2010a,28,FEE039,1,unknown,true,0.3476,0.3352,inf,,0
ES2010b,29,FEE037,2,suggest,false,0.8520,0.4644,inf,FEE040,1
ES2010b,29,FEE039,2,suggest,true,0.8343,0.5009,inf,FEE039,1
ES2010b,29,FEE038,1,unknown,true,0.5026,0.4846,inf,,0
ES2010c,30,FEE038,2,suggest,true,0.7678,0.7125,0.0553,FEE038,1
ES2010c,30,FEE037,3,suggest,true,0.9424,0.6393,0.3031,FEE037,2
ES2010c,30,FEE040,2,unknown,true,0.5438,0.4520,inf,,0
ES2010d,31,FEE037,4,unknown,true,0.7738,0.7249,0.0489,,0
ES2010d,31,FEE040,3,suggest,true,0.7741,0.5512,inf,FEE040,2
